,Technology,O2_substitution,Ratio_NG,Direct_CO2,Indirect_CO2,Energy_use,Product_cost,ROI,Payback
75,7,43,94,196.92159341908823,22.21103355944725,3.40408231726311,5.169092479049036,7.193444112447882,2.671715897127982
76,7,8,90,196.4846764747399,23.199774373968953,3.404314717919355,5.114624461415846,8.771044426415095,2.700168243863006
77,4,19,91,214.32890131158484,25.013815433726883,3.711288920330131,5.250677302071542,9.186723141808933,1.3829776421672508
78,9,21,81,40.000601995839354,608.4151147380898,4.563113360535673,7.272282787514587,-5.8395588914718495,17.470824448321757
79,1,55,97,221.26415748845903,15.000844287728382,3.750211071932092,5.208299766366112,1.428086880321328,11.2479315137181
80,9,48,80,40.000601995839354,608.4151147380898,4.563113360535673,7.2025609657083765,-5.620053819499114,17.63994453141343
81,4,38,94,214.68111834236353,24.214152654828645,3.7110820916639566,5.3007671234620695,6.427549788629795,1.369909136898148
82,7,45,92,196.70788404413523,22.694639056965485,3.4041958585448224,5.134213740999119,8.203664614117102,2.6898659165117857
83,9,55,85,40.000601995839354,608.4151147380898,4.563113360535673,7.644197704336044,-7.01045787933158,16.620812390442328
84,9,37,92,40.000601995839354,608.4151147380898,4.563113360535673,9.19037835238909,-11.878295317330142,13.824542477752427
